assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,midterm,final,bonus,grade
5.6,12,1.82,16,0,4,6.4,4,C
19.2,13.6,18.5,20,14.8,4,24.8,29.6,B
20,19,18.2,20,20,0,26.8,30,A
20,20,20,20,19,0,10.8,0,C
18.2,8.8,13.7,12.5,0,0,6.4,1.2,C
20,20,20,20,19.2,0,36.4,34,A
16,15.8,20,12,18.4,4,28.8,27.2,B
19.2,20,18.2,17.5,15,4,17.6,27.2,C
20,16.8,20,20,19.5,0,27.2,29.6,B
20,12.6,17,2,19.2,0,15.6,2.8,C
19.2,19,13.7,16,18,0,12.8,9.6,C
17.6,14.2,14.5,17.5,15,4,27.6,30,B
17.6,16.8,20,20,19.2,4,13.6,10.4,C
20,15.8,20,20,6.5,4,27.6,34.4,A
20,20,18.5,20,16.2,4,29.2,30.8,A
20,20,20,17.5,20,4,32,35.6,A
17.2,12,13.7,13.5,14.6,0,22.4,18.4,C
17.6,20,2,20,15,0,27.2,27.2,B
20,20,20,20,19.2,0,25.2,24.4,B
20,20,20,20,19.2,4,30.4,32.4,A
19.2,20,18.2,17.5,17.4,4,36,28,A
20,20,20,20,20,4,34,34.8,A
16,17.6,15.2,16,8.5,0,23.2,20.8,C
20,20,18.2,20,15,0,29.6,32.4,A
15.2,20,18.5,17.5,20,4,26,31.6,A
18,14.4,18.2,17.5,0,0,13.6,14,C
20,18,17,20,20,0,28,31.6,A
18.4,0,13.7,17.5,15.5,0,22.8,26.4,B
15.2,8.4,13.7,0,0,0,22.4,0,C
19.2,20,20,20,18.6,4,28,32.4,A
20,16.8,20,17.5,15.2,0,20.4,19.2,C
20,20,20,20,20,4,28.4,27.2,A
20,15.2,20,17.5,17.1,0,32,32.8,A
15.2,15.2,18.5,20,15.3,4,18.8,27.6,B
17.6,18.4,20,12,19.2,4,34.4,29.2,A
16.8,10.4,18.2,20,20,4,22.8,24.8,B
14.4,15.2,20,20,20,4,28.8,31.6,A
18.4,20,20,20,19.7,4,35.2,30.8,A
15.2,5.6,13.7,10.5,8.4,4,4.8,19.2,C
20,13.4,15.5,12.5,14.6,4,16.8,12,C
20,12.6,18.5,12.5,17.2,4,26,26.4,B
20,20,20,20,19,4,24.4,20,B
20,16.8,20,17.5,19.5,4,23.2,30,B
16.8,13.6,11,20,11.3,0,24.8,28.8,B
19.2,19,20,20,20,4,27.2,31.2,A
17.6,20,18.2,20,19,4,18.8,24.8,B
20,20,20,20,20,4,21.2,31.6,B
20,12.8,12.5,13.5,13,0,17.6,21.6,C
20,20,20,20,20,0,30,30.8,A
20,14.2,18.5,20,19.5,4,22,25.2,B
20,19,20,20,20,4,25.6,32.4,A
18.4,18.4,18.5,20,18.9,0,20.8,22.8,C
17.6,20,18.2,18.5,18.5,4,27.2,30.8,A
18.4,19,0.8,20,19,4,27.6,25.6,B
17.6,11.2,17,17.5,15.8,4,25.6,33.6,B
17.6,18.4,20,20,20,4,29.2,31.6,A
18.4,14.2,16.7,20,16.5,0,20.8,25.2,B
14.4,16.8,18.2,20,16.8,0,22,27.6,B
19.2,10.4,17,15,12.3,0,6.8,4.8,C
20,20,20,20,16.5,4,33.2,28,A
20,18.4,18.5,17.5,17.3,0,29.2,27.6,B
19.2,18.4,20,20,20,4,30.8,33.6,A
20,20,20,20,20,4,31.2,26.8,A
20,15.8,20,20,19.2,4,32.4,29.2,A
16.8,20,20,17.5,14.9,0,18.4,30,B
14.2,17.6,18.2,13.5,17.2,0,29.2,30.8,A
20,20,20,20,20,0,38,31.6,A
15.2,16.8,15.2,20,20,0,16.8,30,B
20,15,16.7,15,14,0,14,9.2,C
17.6,11,15.5,15,14.6,0,20.8,22.8,C
20,20,20,20,20,0,26.4,30.4,A
20,17,16.7,20,18.3,4,29.2,32,A
17.6,20,20,20,17.6,4,27.2,31.6,A
17.6,20,20,17.5,0,0,24,3.2,C
20,20,20,16,18.9,4,31.2,30,A
10,9.2,13.7,13.5,0,4,18,3.2,C
14.4,20,20,20,12,0,27.6,25.2,B
